U = 

       Fx            Fy          Tau0         Tau1          Tau2   
    _________    __________    _________    _________    __________

    -0.047042     0.0035423      0.01995     0.018179    -0.0025727
      -0.0481      0.012061     0.037909     0.032221     0.0027617
    -0.049084      0.020547     0.055767     0.046025     0.0081472
    -0.049988      0.028979     0.073444      0.05953      0.013541
    -0.050813      0.037334     0.090858     0.072675        0.0189
    -0.051562      0.045585      0.10793     0.085405      0.024179
    -0.052242      0.053698      0.12456     0.097664      0.029335
    -0.052862      0.061633      0.14067       0.1094      0.034326
    -0.053433      0.069344      0.15615      0.12056      0.039111
    -0.053962      0.076776      0.17092      0.13109      0.043652
    -0.054458      0.083871      0.18487      0.14093      0.047913
    -0.054926      0.090565      0.19789      0.15004      0.051861
    -0.055366      0.096792      0.20988      0.15836      0.055469
    -0.055779       0.10248      0.22074      0.16584      0.058709
    -0.056159       0.10757      0.23038      0.17244       0.06156
      -0.0565         0.112       0.2387      0.17811      0.064003
    -0.056795       0.11571      0.24563       0.1828      0.066022
    -0.057035       0.11865      0.25109      0.18649      0.067605
    -0.057214       0.12078      0.25503      0.18915      0.068743
    -0.057323       0.12207      0.25742      0.19075      0.069428
     -0.05736        0.1225      0.25821      0.19129      0.069656
    -0.057323       0.12207      0.25742      0.19075      0.069428
    -0.057214       0.12078      0.25503      0.18915      0.068743
    -0.057035       0.11865      0.25109      0.18649      0.067605
    -0.056795       0.11571      0.24563       0.1828      0.066022
      -0.0565         0.112       0.2387      0.17811      0.064003
    -0.056159       0.10757      0.23038      0.17244       0.06156
    -0.055779       0.10248      0.22074      0.16584      0.058709
    -0.055366      0.096792      0.20988      0.15836      0.055469
    -0.054926      0.090565      0.19789      0.15004      0.051861
    -0.054458      0.083871      0.18487      0.14093      0.047913
    -0.053962      0.076776      0.17092      0.13109      0.043652
    -0.053433      0.069344      0.15615      0.12056      0.039111
    -0.052862      0.061633      0.14067       0.1094      0.034326
    -0.052242      0.053698      0.12456     0.097664      0.029335
    -0.051562      0.045585      0.10793     0.085405      0.024179
    -0.050813      0.037334     0.090858     0.072675        0.0189
    -0.049988      0.028979     0.073444      0.05953      0.013541
    -0.049084      0.020547     0.055767     0.046025     0.0081472
      -0.0481      0.012061     0.037909     0.032221     0.0027617
    -0.047042     0.0035423      0.01995     0.018179    -0.0025727
     -0.04592    -0.0049905    0.0019701    0.0039659    -0.0078153
    -0.044748     -0.013517    -0.015948    -0.010345     -0.012928
    -0.043546     -0.022013     -0.03372    -0.024678     -0.017875
    -0.042336     -0.030452    -0.051257    -0.038948     -0.022624
    -0.041141       -0.0388    -0.068467    -0.053066     -0.027149
    -0.039986     -0.047016    -0.085252    -0.066939     -0.031426
    -0.038894     -0.055053     -0.10151    -0.080468     -0.035434
    -0.037883     -0.062859     -0.11714     -0.09355      -0.03916
     -0.03697     -0.070375     -0.13203     -0.10608     -0.042592
    -0.036165     -0.077537     -0.14607     -0.11796     -0.045722
    -0.035474     -0.084279     -0.15917     -0.12907     -0.048545
    -0.034897     -0.090535      -0.1712     -0.13933     -0.051061
    -0.034429     -0.096239     -0.18208     -0.14863      -0.05327
     -0.03406      -0.10133     -0.19172     -0.15689     -0.055174
    -0.033781      -0.10574     -0.20002     -0.16403     -0.056776
    -0.033577      -0.10943     -0.20692     -0.16997     -0.058079
    -0.033435      -0.11235     -0.21235     -0.17465     -0.059088
    -0.033343      -0.11446     -0.21627     -0.17803     -0.059806
    -0.033292      -0.11573     -0.21863     -0.18007     -0.060236
    -0.033276      -0.11616     -0.21942     -0.18075     -0.060379
    -0.033292      -0.11573     -0.21863     -0.18007     -0.060236
    -0.033343      -0.11446     -0.21627     -0.17803     -0.059806
    -0.033435      -0.11235     -0.21235     -0.17465     -0.059088
    -0.033577      -0.10943     -0.20692     -0.16997     -0.058079
    -0.033781      -0.10574     -0.20002     -0.16403     -0.056776
     -0.03406      -0.10133     -0.19172     -0.15689     -0.055174
    -0.034429     -0.096239     -0.18208     -0.14863      -0.05327
    -0.034897     -0.090535      -0.1712     -0.13933     -0.051061
    -0.035474     -0.084279     -0.15917     -0.12907     -0.048545
    -0.036165     -0.077537     -0.14607     -0.11796     -0.045722
     -0.03697     -0.070375     -0.13203     -0.10608     -0.042592
    -0.037883     -0.062859     -0.11714     -0.09355      -0.03916
    -0.038894     -0.055053     -0.10151    -0.080468     -0.035434
    -0.039986     -0.047016    -0.085252    -0.066939     -0.031426
    -0.041141       -0.0388    -0.068467    -0.053066     -0.027149
    -0.042336     -0.030452    -0.051257    -0.038948     -0.022624
    -0.043546     -0.022013     -0.03372    -0.024678     -0.017875
    -0.044748     -0.013517    -0.015948    -0.010345     -0.012928
     -0.04592    -0.0049905    0.0019701    0.0039659    -0.0078153
    -0.047042     0.0035423      0.01995     0.018179    -0.0025727

